Paras,Sentiment_Label,Sentiment_Score
Our fight against COVID-19 continues.,POSITIVE,0.9969629049301147
"We have made good progress. In the community, new cases have come down. In the migrant worker dormitories, the situation has stabilised. Our healthcare system is coping well, thanks to the outstanding work of our healthcare professionals, and many others on the frontline. Most importantly, among both Singaporeans and migrant workers, we have kept fatalities low – one of the lowest rates in the world.",POSITIVE,0.9992828369140625
"As a result, we have been able to move out of the circuit breaker. We are opening up our economy and society, progressively and safely. As we ease up, I expect the number of cases to rise somewhat, as has happened in other countries. So we are moving cautiously. We want to avoid the numbers shooting up again, and having to impose a second circuit breaker. We will step up testing and contact tracing significantly. Then we can catch new cases early, isolate them and their contacts, and stamp out clusters before they grow. If all goes well and the outbreak remains firmly under control, we will ease up further, and resume more activities as soon as possible. In the meantime, please continue to play your part: maintain personal hygiene and wash your hands frequently, wear a mask when you are out, and keep a safe distance from others and avoid crowded gatherings.",POSITIVE,0.9841965436935425
"COVID-19 will remain a problem for a long time yet. It will take at least a year, probably longer, before vaccines become widely available. We will have to learn to live with COVID-19 for the long term, as we have done in the past with other dangerous infectious diseases, like tuberculosis. We also have to get used to new arrangements in our daily lives. We must all adjust the way we live, work and play, so that we can reduce the spread of the virus, and keep ourselves safe.",NEGATIVE,0.9946080446243286
Economic Impact,POSITIVE,0.9995419383049011
"But COVID-19 is not only a public health issue. It is also a serious economic, social and political problem. It is in fact the most dangerous crisis humanity has faced in a very long time.",NEGATIVE,0.9375098347663879
"Because of COVID-19, the global economy has virtually ground to a halt. Governments have spent trillions of dollars to support businesses, economies and jobs. Yet, tens of millions of jobs have been lost. Families are experiencing hardship. We are in a totally unprecedented situation.",NEGATIVE,0.9818410277366638
"Singapore has taken a severe hit too. Our GDP is likely to shrink between 4 and 7% this year, our worst contraction ever. To protect workers, households and companies, the Government has intervened decisively through four successive Budgets. We are injecting almost $100 billion – 20% of our GDP – the largest fiscal intervention in our history. Unlike other countries, we can draw on our reserves, and do not have to pay for our support measures by borrowing. But even for us, this level of spending is hard to sustain. More importantly, these measures cannot shield us from the tectonic shifts taking place in the global economy.",NEGATIVE,0.8341712355613708
"Singapore depends heavily on international trade and investments. These were already slowing down before COVID-19. Now this slowdown will happen faster, and go further.",NEGATIVE,0.6578313112258911
"We will not be returning to the open and connected global economy we had before, anytime soon. Movement of people will be more restricted. International travel will be much less frequent. Health checks and quarantines will become the norm. It will no longer be so easy to take quick weekend trips to Bangkok or Hong Kong on a budget flight. Industries that depend on travel, like aviation, hotels and tourism, will take a long time to get back on their feet, and may never recover fully.",NEGATIVE,0.9987536072731018
"Countries will also strive to become less dependent on others. Especially for essential goods and services, like food or critical medical supplies. This will have strategic implications. Countries will have less stake in each other’s well being. They will fight more over how the pie is shared, rather than work together to enlarge the pie for all. It will be a less prosperous world, and also a more troubled one.",NEGATIVE,0.9990842938423157
"All these developments will affect Singapore greatly. Since before the time of Raffles, we have made a living by connecting ourselves with the world. First, we were a trading hub, then an international seaport, then we made ourselves a hub for aviation, finance, and telecommunications. We have benefitted enormously from an open and connected global economy. Large parts of our economy – like manufacturing, biotech, financial services, and logistics – serve regional and world markets. Even many domestic sectors – like retail, F&B, and entertainment – rely heavily on tourism.",POSITIVE,0.9995741844177246
"Now, we have to prepare for a very different future. Companies big and small will be hit hard. Some industries will be permanently changed. Many will have to reinvent themselves to survive. Workers too will feel the pain. Retrenchments and unemployment will go up. Some jobs will disappear, and will not come back. Workers will have to learn new skills to stay employed. The next few years will be a disruptive and difficult time for all of us.",NEGATIVE,0.9991949200630188
We Can Be Confident,POSITIVE,0.9998248219490051
"But despite these immense challenges, I say to you: Do not fear. Do not lose heart. Singapore will not falter in its onward march.",POSITIVE,0.9987928867340088
I believe we can still secure a bright future for ourselves. An even stronger and better Singapore will emerge from this crisis.,POSITIVE,0.996491551399231
